"State.Area","Year","sTotalEmployment","sTotalUnemployment","sTotalCivNonIns","sTotalCivLabor"
"Alabama",2022,26720248,712065,48164293,27432313
"Alaska",2022,4108677,172472,6562010,4281149
"Arizona",2022,41709574,1656705,70317266,43366279
"Arkansas",2022,15887086,544195,28554412,16431281
"California",2022,221255470,9648188,373125022,230903658
"Colorado",2022,37240817,1158823,56167353,38399640
"Connecticut",2022,22231526,963880,35365555,23195406
"Delaware",2022,5691896,267719,9856601,5959615
"District of Columbia",2022,4447931,215763,6596224,4663694
"Florida",2022,125360507,3749001,217608745,129109508
"Georgia",2022,60889545,1907054,102167115,62796599
"Hawaii",2022,7833835,281739,13483999,8115574
"Idaho",2022,11101811,304468,18079382,11406279
"Illinois",2022,74137129,3534092,120430060,77671221
"Indiana",2022,39634736,1222273,64292830,40857009
"Iowa",2022,20039934,562885,30233091,20602819
"Kansas",2022,17576702,478797,27211072,18055499
"Kentucky",2022,23628561,961794,42493267,24590355
"Los Angeles County",2022,56883154,2907869,94696594,59791023
"Louisiana",2022,24137028,908616,42723212,25045644
"Maine",2022,7862586,238277,13830616,8100863
"Maryland",2022,36816423,1234161,58645669,38050584
"Massachusetts",2022,43247221,1692306,69011501,44939527
"Michigan",2022,55600456,2433583,96950137,58034039
"Minnesota",2022,35947592,981779,54228925,36929371
"Mississippi",2022,14429807,585867,27357645,15015674
"Missouri",2022,35807881,917176,58587284,36725057
"Montana",2022,6634098,180093,10805769,6814191
"Nebraska",2022,12409042,297471,18231679,12706513
"Nevada",2022,17597212,999635,30392769,18596847
"New Hampshire",2022,8968872,230995,13913419,9199867
"New Jersey",2022,54785313,2090983,89051622,56876296
"New Mexico",2022,10907044,457288,20117088,11364332
"New York",2022,110494834,4903286,191615883,115398120
"New York city",2022,46423708,2756473,81095148,49180181
"North Carolina",2022,59658227,2268301,101610542,61926528
"North Dakota",2022,4867037,104073,7183087,4971110
"Ohio",2022,66140433,2768913,112071922,68909346
"Oklahoma",2022,21954039,683373,37130034,22637412
"Oregon",2022,25027823,1080374,41594062,26108197
"Pennsylvania",2022,74345529,3374983,125889754,77720512
"Rhode Island",2022,6619429,219681,10796655,6839110
"South Carolina",2022,27573906,924237,50451800,28498143
"South Dakota",2022,5582611,117658,8354578,5700269
"Tennessee",2022,38883673,1357702,67143670,40241375
"Texas",2022,169079935,6819018,275552799,175898953
"Utah",2022,20425294,483236,30439390,20908530
"Vermont",2022,3997367,107756,6500924,4105123
"Virginia",2022,51697557,1508647,82074509,53206204
"Washington",2022,45858967,1997497,74681310,47856464
"West Virginia",2022,9052054,368780,17231130,9420834
"Wisconsin",2022,35905761,1084387,56877525,36990148
"Wyoming",2022,3375988,124665,5494738,3500653
