State.Area,Year,sTotalEmployment,sTotalUnemployment,sTotalCivNonIns,sTotalCivLabor
Alabama,1976,16797385,1205731,31592000,18003116
Alabama,1977,17431846,1340714,32267000,18772560
Alabama,1978,18207821,1246188,32941000,19454009
Alabama,1979,18494203,1440984,33487000,19935187
Alabama,1980,18378547,1777370,33951000,20155917
Alabama,1981,18073034,2164522,34371000,20237556
Alabama,1982,17754972,2881944,34675000,20636916
Alabama,1983,18163240,2915605,34933000,21078845
Alabama,1984,19016116,2419684,35268000,21435800
Alabama,1985,19590922,2067269,35629000,21658191
Alabama,1986,20102366,2127025,36013000,22229391
Alabama,1987,20577853,1833890,36430000,22411743
Alabama,1988,20856099,1639133,36690000,22495232
Alabama,1989,21193758,1596563,36874000,22790321
Alabama,1990,21360356,1565491,36868742,22925847
Alabama,1991,21402531,1689864,37380063,23092395
Alabama,1992,21773139,1773811,37816563,23546950
Alabama,1993,22231184,1731304,38331063,23962488
Alabama,1994,22889528,1505826,38746563,24395354
Alabama,1995,23342923,1447992,39046063,24790915
Alabama,1996,23793320,1306112,39415563,25099432
Alabama,1997,24329108,1261126,39728063,25590234
Alabama,1998,24564436,1147835,40104563,25712271
Alabama,1999,24584301,1217217,40340063,25801518
Alabama,2000,24574766,1194033,40540721,25768799
Alabama,2001,24200085,1323225,40707759,25523310
Alabama,2002,23858845,1499659,40853405,25358504
Alabama,2003,24012153,1527285,41057629,25539438
Alabama,2004,24224567,1433605,41329022,25658172
Alabama,2005,24539247,1142148,41728688,25681395
Alabama,2006,24996398,1042794,42267274,26039192
Alabama,2007,25109405,1061017,42695486,26170422
Alabama,2008,24592286,1534123,43102698,26126409
Alabama,2009,23273602,2610592,43456920,25884194
Alabama,2010,23625081,2735252,44282961,26360333
Alabama,2011,23892319,2531135,44701016,26423454
Alabama,2012,24013411,2135488,44948311,26148899
Alabama,2013,24165174,1910135,45191108,26075309
Alabama,2014,24224848,1750298,45398295,25975146
Alabama,2015,24249161,1580814,45592477,25829975
Alabama,2016,24347148,1521869,45803433,25869017
Alabama,2017,25244885,1195671,46671260,26440556
Alabama,2018,25822118,1055694,46939860,26877812
Alabama,2019,26400151,868716,47229454,27268867
Alabama,2020,25491382,1741742,47592433,27233124
Alabama,2021,26197999,915201,47879153,27113200
Alabama,2022,26720248,712065,48164293,27432313
Alaska,1976,1821994,149355,2879000,1971349
Alaska,1977,1875764,205917,2977000,2081681
Alaska,1978,1951205,232057,3060000,2183262
Alaska,1979,2015727,200536,3098000,2216263
Alaska,1980,2051544,216692,3168000,2268236
Alaska,1981,2156360,218310,3285000,2374670
Alaska,1982,2303358,257384,3509000,2560742
Alaska,1983,2486366,279401,3838000,2765767
Alaska,1984,2630801,288280,4028000,2919081
Alaska,1985,2700735,294916,4119000,2995651
Alaska,1986,2717960,339190,4199000,3057150
Alaska,1987,2692100,303649,4146000,2995749
Alaska,1988,2747445,262888,4164000,3010333
Alaska,1989,2878563,220367,4200000,3098930
Alaska,1990,3006709,235673,4463598,3242382
Alaska,1991,3039965,276897,4579086,3316862
Alaska,1992,3131931,304064,4735844,3435995
Alaska,1993,3255183,275542,4840603,3530725
Alaska,1994,3334050,274893,4909362,3608943
Alaska,1995,3366267,266531,4987119,3632798
Alaska,1996,3428545,274572,5047878,3703117
Alaska,1997,3488115,259773,5083637,3747888
Alaska,1998,3544261,240091,5120395,3784352
Alaska,1999,3574344,244734,5192153,3819078
Alaska,2000,3595276,242319,5233349,3837595
Alaska,2001,3616811,242649,5319241,3859460
Alaska,2002,3644179,281893,5424771,3926072
Alaska,2003,3681706,306344,5519367,3988050
Alaska,2004,3748248,300560,5651987,4048808
Alaska,2005,3843462,286160,5762663,4129622
Alaska,2006,3907840,277472,5880582,4185312
Alaska,2007,3939351,263066,5951040,4202417
Alaska,2008,3987941,276441,6020273,4264382
Alaska,2009,3970298,343798,6142828,4314096
Alaska,2010,3986354,353189,6222318,4339543
Alaska,2011,4034526,338817,6342719,4373343
Alaska,2012,4054980,316337,6419847,4371317
Alaska,2013,4058505,305156,6461780,4363661
Alaska,2014,4077299,294750,6484475,4372049
Alaska,2015,4074950,272996,6512220,4347946
Alaska,2016,4058625,286543,6559069,4345168
Alaska,2017,4044968,281547,6557592,4326515
Alaska,2018,4008155,257631,6548403,4265786
Alaska,2019,4001235,237088,6538860,4238323
Alaska,2020,3817886,345873,6538147,4163759
Alaska,2021,3965907,272305,6549909,4238212
Alaska,2022,4108677,172472,6562010,4281149
Arizona,1976,10633911,1149991,19811000,11783902
Arizona,1977,11470085,1049519,20715000,12519604
Arizona,1978,12239334,774051,21709000,13013385
Arizona,1979,13154582,702845,22897000,13857427
Arizona,1980,13806505,977659,23903000,14784164
Arizona,1981,14313179,944023,24630000,15257202
Arizona,1982,14524970,1608869,25416000,16133839
Arizona,1983,15161465,1516720,26288000,16678185
Arizona,1984,16410305,854885,27226000,17265190
Arizona,1985,16752845,1136561,28232000,17889406
Arizona,1986,17501139,1327106,29127000,18828245
Arizona,1987,18090955,1258991,30132000,19349946
Arizona,1988,18675785,1279110,30865000,19954895
Arizona,1989,19465196,1074742,31418000,20539938
Arizona,1990,20291958,1117850,33325173,21409808
Arizona,1991,20433528,1272451,34253001,21705979
Arizona,1992,20798836,1703491,35451867,22502327
Arizona,1993,21818455,1479966,36843733,23298421
Arizona,1994,23693823,1560797,38572598,25254620
Arizona,1995,25420378,1427242,40173465,26847620
Arizona,1996,25935091,1506797,41580330,27441888
Arizona,1997,26384032,1282870,43011196,27666902
Arizona,1998,27453551,1225073,44166062,28678624
Arizona,1999,28459717,1331335,45210927,29791052
Arizona,2000,28934271,1200012,46190466,30134283
Arizona,2001,29641574,1471426,47438328,31113000
Arizona,2002,30219368,1982926,48775241,32202294
Arizona,2003,30850537,1895646,50091840,32746183
Arizona,2004,31789236,1664458,51648429,33453694
Arizona,2005,32751725,1598734,53585409,34350459
Arizona,2006,34111534,1532546,55560008,35644080
Arizona,2007,34871697,1358194,57125399,36229891
Arizona,2008,34992017,2157322,58419919,37149339
Arizona,2009,33928768,3631114,59417236,37559882
Arizona,2010,33331003,3823435,58761844,37154438
Arizona,2011,33164164,3456987,59115903,36621151
Arizona,2012,33598977,3058611,60079650,36657588
Arizona,2013,33911286,2868595,61030410,36779881
Arizona,2014,34873632,2547354,62136093,37420986
Arizona,2015,35896092,2324948,63313744,38221040
Arizona,2016,36907297,2140147,64613298,39047444
Arizona,2017,36951033,1927027,64103603,38878060
Arizona,2018,37989206,1919822,65213957,39909028
Arizona,2019,39192738,1982002,66453468,41174740
Arizona,2020,38384811,3258172,67864030,41642983
Arizona,2021,40230666,2146641,69069528,42377307
Arizona,2022,41709574,1656705,70317266,43366279
Arkansas,1976,9986054,739304,18559000,10725358
Arkansas,1977,10377502,718775,18983000,11096277
Arkansas,1978,10674077,708529,19395000,11382606
Arkansas,1979,10975067,735317,19763000,11710384
Arkansas,1980,11014207,897881,20042000,11912088
Arkansas,1981,11198644,1054476,20239000,12253120
Arkansas,1982,11096315,1159961,20376000,12256276
Arkansas,1983,11243137,1207966,20601000,12451103
Arkansas,1984,11505910,1073901,20805000,12579811
Arkansas,1985,11582550,1073757,20971000,12656307
Arkansas,1986,11771108,1099785,21140000,12870893
Arkansas,1987,12044333,1067780,21328000,13112113
Arkansas,1988,12276551,1023548,21420000,13300099
Arkansas,1989,12530993,949705,21491000,13480698
Arkansas,1990,12632932,930334,21367350,13563266
Arkansas,1991,12641172,997649,21637414,13638821
Arkansas,1992,12935871,972993,21899709,13908864
Arkansas,1993,13228477,863458,22292004,14091935
Arkansas,1994,13691918,787059,22630300,14478977
Arkansas,1995,13957846,713031,22950595,14670877
Arkansas,1996,14081449,767123,23265890,14848572
Arkansas,1997,14115138,761623,23559185,14876761
Arkansas,1998,14188676,753667,23780481,14942343
Arkansas,1999,14399993,683231,24050776,15083224
Arkansas,2000,14496482,633063,24312523,15129545
Arkansas,2001,14413236,720258,24477282,15133494
Arkansas,2002,14509961,815381,24636943,15325342
Arkansas,2003,14500380,888176,24822834,15388556
Arkansas,2004,14753784,871743,25051043,15625527
Arkansas,2005,15166657,841185,25354177,16007842
Arkansas,2006,15308730,849055,25715068,16157785
Arkansas,2007,15336456,872957,25994626,16209413
Arkansas,2008,15407619,887709,26235642,16295328
Arkansas,2009,14985076,1254247,26442789,16239323
Arkansas,2010,14967810,1278138,26792786,16245948
Arkansas,2011,15003427,1287070,27053077,16290497
Arkansas,2012,15026081,1177239,27203879,16203320
Arkansas,2013,14855827,1125479,27322580,15981306
Arkansas,2014,14995750,938965,27446338,15934715
Arkansas,2015,15276584,796315,27588889,16072899
Arkansas,2016,15485095,643276,27744819,16128371
Arkansas,2017,15572896,603243,27750544,16176139
Arkansas,2018,15536565,589842,27855414,16126407
Arkansas,2019,15686988,568419,27969004,16255407
Arkansas,2020,15163215,1000761,28150566,16163976
Arkansas,2021,15426359,652878,28342192,16079237
Arkansas,2022,15887086,544195,28554412,16431281
California,1976,107919395,10867887,189885000,118787282
California,1977,114090205,10432320,195335000,124522525
California,1978,121626786,9338420,201140000,130965206
California,1979,127006975,8432259,206570000,135439234
California,1980,129673488,9616660,212248000,139290148
California,1981,131268332,10529058,216822000,141797390
California,1982,131187473,14680973,221119000,145868446
California,1983,133118491,14505664,224700000,147624155
California,1984,139631995,11733912,229946000,151365907
California,1985,144429054,11189380,235729000,155618434
California,1986,149245343,10817513,240782000,160062856
California,1987,155292856,9616952,246302000,164909808
California,1988,160698502,8948379,251797000,169646881
California,1989,165583852,8883915,257508000,174467767
California,1990,171163595,10499372,271179048,181662967
California,1991,167405221,14194414,273370320,181599635
California,1992,166450577,17170125,276582499,183620702
California,1993,165722211,17473791,277790680,183196002
California,1994,167301666,15847442,278335861,183149108
California,1995,168823638,14448117,279232040,183271755
California,1996,171237108,13566203,281438220,184803311
California,1997,177562038,12126210,285955402,189688248
California,1998,182593658,11521137,291259581,194114795
California,1999,186960821,10402826,296528761,197363647
California,2000,192147178,9918775,301394713,202065953
California,2001,193895855,11218634,306316415,205114489
California,2002,192990372,13977181,310588871,206967553
California,2003,192965079,14296492,314526847,207261571
California,2004,195477313,12958654,318039838,208435967
California,2005,199132934,11318814,321141003,210451748
California,2006,201549095,10391931,324152056,211941026
California,2007,203491527,11437805,327294657,214929332
California,2008,202240770,15950012,331276491,218190782
California,2009,194390473,25338520,335360772,219728993
California,2010,192961252,27445164,342387796,220406416
California,2011,194619827,26242318,347434137,220862145
California,2012,198522887,23344478,351547627,221867365
California,2013,202704400,20117395,355521531,222821795
California,2014,207177901,16947313,359555235,224125214
California,2015,211794745,14103517,363404080,225898262
California,2016,215581091,12585787,366826067,228166878
California,2017,219067498,11135681,369655465,230203179
California,2018,221607107,9855374,371558143,231462481
California,2019,223443620,9537168,372682483,232980788
California,2020,204501879,23091457,374211998,227593336
California,2021,211055798,16669519,373084409,227725317
California,2022,221255470,9648188,373125022,230903658
Colorado,1976,14003434,882145,22299000,14885579
Colorado,1977,14546212,986281,23084000,15532493
Colorado,1978,15357825,900003,23937000,16257828
Colorado,1979,16428579,796722,24838000,17225301
Colorado,1980,16921221,1058321,25534000,17979542
Colorado,1981,17456295,1045709,26262000,18502004
Colorado,1982,17682496,1458905,27063000,19141401
Colorado,1983,18503365,1414106,27779000,19917471
Colorado,1984,19332179,1124166,28259000,20456345
Colorado,1985,19304116,1228641,28632000,20532757
Colorado,1986,18922336,1535920,28988000,20458256
Colorado,1987,18896593,1540821,29241000,20437414
Colorado,1988,19159201,1313844,29358000,20473045
Colorado,1989,19384889,1147007,29525000,20531896
Colorado,1990,20157923,1091266,29865089,21249189
Colorado,1991,20499735,1144306,30511008,21644041
Colorado,1992,20817145,1354009,31437768,22171154
Colorado,1993,21905370,1244844,32560528,23150214
Colorado,1994,23415553,1014940,33673288,24430493
Colorado,1995,24483649,1023658,34694048,25507307
Colorado,1996,24820721,1078089,35634808,25898810
Colorado,1997,25688056,891049,36515568,26579105
Colorado,1998,26662407,998983,37339328,27661390
Colorado,1999,27206013,847202,38299089,28053215
Colorado,2000,27527718,773049,39176069,28300767
Colorado,2001,27650821,1098653,40145969,28749474
Colorado,2002,27721375,1673137,40871562,29394512
Colorado,2003,28057731,1824539,41421848,29882270
Colorado,2004,28765431,1696592,41892714,30462023
Colorado,2005,29306083,1563753,42577439,30869836
Colorado,2006,30336131,1350228,43459583,31686359
Colorado,2007,31068140,1193692,44317776,32261832
Colorado,2008,31215030,1602636,45207366,32817666
Colorado,2009,30193935,2580426,46060030,32774361
Colorado,2010,29608685,2972458,46436494,32581143
Colorado,2011,29916013,2846065,47103524,32762078
Colorado,2012,30366486,2635546,47923745,33002032
Colorado,2013,30961501,2237786,48779867,33199287
Colorado,2014,31931995,1671539,49708719,33603534
Colorado,2015,32646762,1264481,50805314,33911243
Colorado,2016,33638600,1088902,51870810,34727502
Colorado,2017,34625967,930981,52523346,35556948
Colorado,2018,35535168,1114990,53419707,36650158
Colorado,2019,36276240,995359,54236582,37271599
Colorado,2020,34550311,2501974,55058884,37052285
Colorado,2021,35838759,2067936,55625459,37906695
Colorado,2022,37240817,1158823,56167353,38399640
Connecticut,1976,15847350,1599471,27121000,17446821
Connecticut,1977,16568454,1245071,27432000,17813525
Connecticut,1978,17197502,962608,27754000,18160110
Connecticut,1979,17811240,954537,28070000,18765777
Connecticut,1980,17944312,1080238,28418000,19024550
Connecticut,1981,18009821,1189240,28761000,19199061
Connecticut,1982,18008049,1325069,28999000,19333118
Connecticut,1983,18274791,1166720,29184000,19441511
Connecticut,1984,19104718,934234,29413000,20038952
Connecticut,1985,19530799,896350,29639000,20427149
Connecticut,1986,20026276,782432,29850000,20808708
Connecticut,1987,20311110,659401,30066000,20970511
Connecticut,1988,20359377,603403,30202000,20962780
Connecticut,1989,20463969,765756,30186000,21229725
Connecticut,1990,20720213,1078928,30882044,21799141
